gen,strategy,rms,max_pct,noble_rms,halogen_rms,mono_breaks,n_above_20,elapsed_s,is_best
445,Explore,0,0,0,0,0,0,0.325444,0
446,Refine,0,0,0,0,0,0,0.481902,0
447,Block,0,0,0,0,0,0,0.335742,0
448,Shell,0,0,0,0,0,0,0.342946,0
449,Weighted,0,0,0,0,0,0,0.315404,0
450,Fresh,0,0,0,0,0,0,0.313873,0
451,Explore,0,0,0,0,0,0,0.366178,0
452,Refine,0,0,0,0,0,0,0.498215,0
453,Block,0,0,0,0,0,0,0.340294,0
454,Shell,0,0,0,0,0,0,0.359853,0
455,Weighted,0,0,0,0,0,0,0.338431,0
456,Fresh,0,0,0,0,0,0,0.348324,0
457,Explore,0,0,0,0,0,0,0.342098,0
458,Refine,0,0,0,0,0,0,0.487526,0
459,Block,0,0,0,0,0,0,0.343738,0
460,Shell,0,0,0,0,0,0,0.340347,0
461,Weighted,0,0,0,0,0,0,0.341634,0
462,Fresh,0,0,0,0,0,0,0.322059,0
463,Explore,0,0,0,0,0,0,0.336494,0
464,Refine,0,0,0,0,0,0,0.501225,0
465,Block,0,0,0,0,0,0,0.339833,0
466,Shell,0,0,0,0,0,0,0.336517,0
467,Weighted,0,0,0,0,0,0,0.32928,0
468,Fresh,0,0,0,0,0,0,0.332592,0
469,Explore,0,0,0,0,0,0,0.321261,0
470,Refine,0,0,0,0,0,0,0.488387,0
471,Block,0,0,0,0,0,0,0.336254,0
472,Shell,0,0,0,0,0,0,0.337618,0
473,Weighted,0,0,0,0,0,0,0.347775,0
474,Fresh,0,0,0,0,0,0,0.313718,0
475,Explore,0,0,0,0,0,0,0.300383,0
476,Refine,0,0,0,0,0,0,0.488364,0
477,Block,0,0,0,0,0,0,0.337426,0
478,Shell,0,0,0,0,0,0,0.336909,0
479,Weighted,0,0,0,0,0,0,0.325477,0
480,Fresh,0,0,0,0,0,0,0.40347,0
481,Explore,0,0,0,0,0,0,0.324991,0
482,Refine,0,0,0,0,0,0,0.493887,0
483,Block,0,0,0,0,0,0,0.36284,0
484,Shell,0,0,0,0,0,0,0.336077,0
485,Weighted,0,0,0,0,0,0,0.348307,0
486,Fresh,0,0,0,0,0,0,0.35018,0
487,Explore,0,0,0,0,0,0,0.329485,0
488,Refine,0,0,0,0,0,0,0.493433,0
489,Block,0,0,0,0,0,0,0.338163,0
490,Shell,0,0,0,0,0,0,0.340213,0
491,Weighted,0,0,0,0,0,0,0.356962,0
492,Fresh,0,0,0,0,0,0,0.352397,0
493,Explore,0,0,0,0,0,0,0.350409,0
494,Refine,0,0,0,0,0,0,0.507632,0
495,Block,0,0,0,0,0,0,0.338901,0
496,Shell,0,0,0,0,0,0,0.337203,0
497,Weighted,0,0,0,0,0,0,0.34228,0
498,Fresh,0,0,0,0,0,0,0.322779,0
499,Explore,0,0,0,0,0,0,0.334182,0
500,Refine,0,0,0,0,0,0,0.509011,0
501,Block,0,0,0,0,0,0,0.381462,0
502,Shell,0,0,0,0,0,0,0.353829,0
503,Weighted,0,0,0,0,0,0,0.368693,0
504,Fresh,0,0,0,0,0,0,0.317352,0
505,Explore,0,0,0,0,0,0,0.333045,0
506,Refine,0,0,0,0,0,0,0.496838,0
507,Block,0,0,0,0,0,0,0.339907,0
508,Shell,0,0,0,0,0,0,0.34407,0
509,Weighted,0,0,0,0,0,0,0.331841,0
510,Fresh,0,0,0,0,0,0,0.338899,0
511,Explore,0,0,0,0,0,0,0.359416,0
512,Refine,0,0,0,0,0,0,0.499466,0
513,Block,0,0,0,0,0,0,0.341683,0
514,Shell,0,0,0,0,0,0,0.341163,0
515,Weighted,0,0,0,0,0,0,0.338837,0
516,Fresh,0,0,0,0,0,0,0.326043,0
517,Explore,0,0,0,0,0,0,0.322766,0
518,Refine,0,0,0,0,0,0,0.495725,0
519,Block,0,0,0,0,0,0,0.337097,0
520,Shell,0,0,0,0,0,0,0.349571,0
521,Weighted,0,0,0,0,0,0,0.331016,0
522,Fresh,0,0,0,0,0,0,0.326491,0
523,Explore,0,0,0,0,0,0,0.326041,0
524,Refine,0,0,0,0,0,0,0.497898,0
525,Block,0,0,0,0,0,0,0.338201,0
526,Shell,0,0,0,0,0,0,0.339631,0
527,Weighted,0,0,0,0,0,0,0.325252,0
528,Fresh,0,0,0,0,0,0,0.347723,0
529,Explore,0,0,0,0,0,0,0.305062,0
530,Refine,0,0,0,0,0,0,0.507093,0
531,Block,0,0,0,0,0,0,0.341567,0
532,Shell,0,0,0,0,0,0,0.344283,0
533,Weighted,0,0,0,0,0,0,0.330644,0
534,Fresh,0,0,0,0,0,0,0.342,0
535,Explore,0,0,0,0,0,0,0.318143,0
536,Refine,0,0,0,0,0,0,0.524175,0
537,Block,0,0,0,0,0,0,0.401007,0
538,Shell,0,0,0,0,0,0,0.388047,0
539,Weighted,0,0,0,0,0,0,0.319523,0
540,Fresh,0,0,0,0,0,0,0.334168,0
541,Explore,0,0,0,0,0,0,0.338184,0
542,Refine,0,0,0,0,0,0,0.495766,0
543,Block,0,0,0,0,0,0,0.338991,0
544,Shell,0,0,0,0,0,0,0.336991,0
545,Weighted,0,0,0,0,0,0,0.324565,0
546,Fresh,0,0,0,0,0,0,0.312669,0
