step,bead_id,x,y,z,vx,vy,vz,rho,C,P2,rho_hat,P2_hat,eta,target_f,g_steric,g_elec,g_disp,Fx_drag,Fy_drag,Fz_drag,Fx_body,Fy_body,Fz_body,Fx_grad,Fy_grad,Fz_grad
63,0,93.469561,0.000000,-184.176211,0.369327,0.000000,-0.756784,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00131137,0.00000000,0.00756236,0.00000000,0.00000000,-0.01000000,-0.00112594,-0.00000000,0.00221860
64,0,95.318513,0.000000,-187.962869,0.370232,0.000000,-0.757850,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00130210,0.00000000,0.00757332,0.00000000,0.00000000,-0.01000000,-0.00112536,-0.00000000,0.00221916
65,0,97.171883,0.000000,-191.754715,0.371095,0.000000,-0.758861,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00129326,0.00000000,0.00758369,0.00000000,0.00000000,-0.01000000,-0.00112483,-0.00000000,0.00221969
66,0,99.029464,0.000000,-195.551477,0.371917,0.000000,-0.759818,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00128484,0.00000000,0.00759352,0.00000000,0.00000000,-0.01000000,-0.00112433,-0.00000000,0.00222019
67,0,100.891058,0.000000,-199.352896,0.372701,0.000000,-0.760725,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00127681,0.00000000,0.00760284,0.00000000,0.00000000,-0.01000000,-0.00112386,-0.00000000,0.00222067
68,0,102.756475,0.000000,-203.158727,0.373448,0.000000,-0.761584,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00126917,0.00000000,0.00761166,0.00000000,0.00000000,-0.01000000,-0.00112343,-0.00000000,0.00222112
69,0,104.625536,0.000000,-206.968738,0.374159,0.000000,-0.762398,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00126188,0.00000000,0.00762002,0.00000000,0.00000000,-0.01000000,-0.00112302,-0.00000000,0.00222155
70,0,106.498068,0.000000,-210.782711,0.374837,0.000000,-0.763170,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00125494,0.00000000,0.00762794,0.00000000,0.00000000,-0.01000000,-0.00112264,-0.00000000,0.00222195
71,0,108.373908,0.000000,-214.600436,0.375483,0.000000,-0.763901,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00124832,0.00000000,0.00763545,0.00000000,0.00000000,-0.01000000,-0.00112229,-0.00000000,0.00222234
72,0,110.252898,0.000000,-218.421716,0.376098,0.000000,-0.764593,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00124202,0.00000000,0.00764256,0.00000000,0.00000000,-0.01000000,-0.00112196,-0.00000000,0.00222271
73,0,112.134890,0.000000,-222.246364,0.376684,0.000000,-0.765249,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00123602,0.00000000,0.00764930,0.00000000,0.00000000,-0.01000000,-0.00112165,-0.00000000,0.00222306
74,0,114.019741,0.000000,-226.074204,0.377243,0.000000,-0.765870,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00123030,0.00000000,0.00765568,0.00000000,0.00000000,-0.01000000,-0.00112136,-0.00000000,0.00222339
75,0,115.907315,0.000000,-229.905067,0.377774,0.000000,-0.766459,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00122485,0.00000000,0.00766173,0.00000000,0.00000000,-0.01000000,-0.00112109,-0.00000000,0.00222371
76,0,117.797484,0.000000,-233.738794,0.378281,0.000000,-0.767017,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00121966,0.00000000,0.00766745,0.00000000,0.00000000,-0.01000000,-0.00112084,-0.00000000,0.00222401
77,0,119.690123,0.000000,-237.575234,0.378763,0.000000,-0.767545,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.00121472,0.00000000,0.00767288,0.00000000,0.00000000,-0.01000000,-0.00112060,-0.00000000,0.00222430
